unit_id,effect,lat,lon,I_local,lag_z,z,p_perm,cluster,is_treated
QUEENS 06,9.132034632034628,40.72722573398393,-73.85475882110627,0.00039327753815827113,0.0005207531281541458,0.755209170902683,1.0,ns,True
QUEENS 07,-6.974025974025977,40.76518223327899,-73.82084536673104,-0.042132976169718235,0.10153143586744506,-0.41497469044686003,0.6332665330661322,ns,True
QUEENS 08,5.824675324675322,40.72056947480392,-73.81260977861308,-0.012165291725230381,-0.02362589917228091,0.5149133853708862,0.9098196392785571,ns,True
QUEENS 09,-0.9025974025974008,40.69227201126536,-73.83975290824937,-0.0016729547780236994,-0.06398949669626297,0.02614420904050338,0.7675350701402806,ns,True
QUEENS 10,-2.660173160173162,40.67672846734959,-73.83080416272205,0.010306739593202194,-0.10149199413279134,-0.10155224243320056,0.6292585170340681,ns,True
QUEENS 11,0.8333333333333321,40.76118458384185,-73.77401445721297,0.005245644757008584,0.03445006985829953,0.15226804411674744,0.8857715430861723,ns,True
QUEENS 12,-7.452380952380949,40.695243574021994,-73.78689539461487,-0.035893051154347544,0.07981030848615542,-0.4497295128307124,0.7294589178356713,ns,True
QUEENS 13,-2.597402597402599,40.70259358946908,-73.73903156452147,0.003308676111628996,-0.0341129978213401,-0.09699165488056827,0.9018036072144289,ns,True
QUEENS 14,-3.158008658008658,40.59599553669944,-73.76395297167525,-0.01275410867263881,0.09260735261563467,-0.13772241957476672,0.7735470941883767,ns,True
QUEENS 81,-0.16017316017316016,40.74739854103399,-73.84485615515032,0.017392288596039043,0.21717299287899736,0.08008495147336084,0.19839679358717435,ns,False
QUEENS 82,-0.047619047619047616,40.70155281482137,-73.85356553888363,-0.0029061683766747073,-0.03292640145504329,0.08826255674014974,0.8857715430861723,ns,False
